,Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
241,Arecanut,1998,Whole Year ,Kerala,73639.0,50000,3151.5,7275533.2,21355.31,0.797857143
243,Black pepper,1998,Whole Year ,Kerala,182384.0,50000,3151.5,18019539.2,52891.36,0.261428571
244,Cardamom,1998,Whole Year ,Kerala,41449.0,4990,3151.5,4095161.2,12020.21,0.045555556
245,Cashewnut,1998,Whole Year ,Kerala,91268.0,50000,3151.5,9017278.4,26467.72,0.484285714
247,Cotton(lint),1998,Kharif     ,Kerala,10999.0,17752,3151.5,1086701.2,3189.71,1.61
248,Dry chillies,1998,Whole Year ,Kerala,297.0,288,3151.5,29343.6,86.13,0.937777778
249,Garlic,1998,Whole Year ,Kerala,742.0,12614,3151.5,73309.6,215.18,17.0
250,Ginger,1998,Whole Year ,Kerala,11107.0,39362,3151.5,1097371.6,3221.03,2.93
251,Groundnut,1998,Kharif     ,Kerala,7021.0,5219,3151.5,693674.8,2036.09,0.62
252,Jowar,1998,Kharif     ,Kerala,2177.0,1108,3151.5,215087.6,631.33,0.505
253,Ragi,1998,Kharif     ,Kerala,1157.0,936,3151.5,114311.6,335.53,0.81
254,Rice,1998,Autumn     ,Kerala,120217.0,50000,3151.5,11877439.6,34862.93,1.856923077
255,Rice,1998,Summer     ,Kerala,57700.0,50000,3151.5,5700760.0,16733.0,2.116153846
257,Sesamum,1998,Kharif     ,Kerala,3303.0,1057,3151.5,326336.4,957.87,0.467272727
259,Sweet potato,1998,Whole Year ,Kerala,1099.0,11924,3151.5,108581.2,318.71,11.718
261,Tobacco,1998,Whole Year ,Kerala,41.0,228,3151.5,4050.8,11.89,5.56
262,Turmeric,1998,Whole Year ,Kerala,3706.0,8034,3151.5,366152.8,1074.74,1.997857143
263,Arecanut,1998,Whole Year ,Meghalaya,9585.0,11567,6552.7,946998.0,2779.65,1.151666667
264,Arhar/Tur,1998,Kharif     ,Meghalaya,861.0,678,6552.7,85066.8,249.69,0.803333333
265,Banana,1998,Whole Year ,Meghalaya,5194.0,50000,6552.7,513167.2,1506.26,11.26714286
266,Cotton(lint),1998,Kharif     ,Meghalaya,7549.0,5599,6552.7,745841.2,2189.21,0.796666667
267,Dry chillies,1998,Whole Year ,Meghalaya,1764.0,1051,6552.7,174283.2,511.56,0.598571429
268,Ginger,1998,Kharif     ,Meghalaya,7403.0,45590,6552.7,731416.4,2146.87,6.008571429
269,Gram,1998,Rabi       ,Meghalaya,463.0,283,6552.7,45744.4,134.27,0.61
270,Jute,1998,Kharif     ,Meghalaya,4241.0,27097,6552.7,419010.8,1229.89,7.553333333
271,Linseed,1998,Kharif     ,Meghalaya,51.0,23,6552.7,5038.8,14.79,0.45
272,Maize,1998,Kharif     ,Meghalaya,17219.0,25272,6552.7,1701237.2,4993.51,1.457142857
273,Mesta,1998,Kharif     ,Meghalaya,4681.0,21362,6552.7,462482.8,1357.49,4.58
274,Mesta,1998,Whole Year ,Meghalaya,871.0,631,6552.7,86054.8,252.59,0.68
275,Other  Rabi pulses,1998,Rabi       ,Meghalaya,1938.0,1527,6552.7,191474.4,562.02,0.755714286
276,Potato,1998,Whole Year ,Meghalaya,20753.0,50000,6552.7,2050396.4,6018.37,7.738571429
277,Rapeseed &Mustard,1998,Rabi       ,Meghalaya,6916.0,4576,6552.7,683300.8,2005.64,0.635714286
278,Rice,1998,Kharif     ,Meghalaya,105402.0,50000,6552.7,10413717.6,30566.58,1.51
279,Sesamum,1998,Kharif     ,Meghalaya,1322.0,694,6552.7,130613.6,383.38,0.575714286
280,Small millets,1998,Kharif     ,Meghalaya,2823.0,2282,6552.7,278912.4,818.67,0.871428571
281,Soyabean,1998,Kharif     ,Meghalaya,899.0,812,6552.7,88821.2,260.71,0.881428571
282,Sugarcane,1998,Whole Year ,Meghalaya,83.0,225,6552.7,8200.4,24.07,2.328
283,Sweet potato,1998,Whole Year ,Meghalaya,5181.0,17291,6552.7,511882.8,1502.49,3.302857143
284,Tapioca,1998,Whole Year ,Meghalaya,3963.0,21251,6552.7,391544.4,1149.27,6.547142857
285,Tobacco,1998,Whole Year ,Meghalaya,742.0,507,6552.7,73309.6,215.18,0.61
286,Turmeric,1998,Whole Year ,Meghalaya,1375.0,6997,6552.7,135850.0,398.75,5.624285714
287,Wheat,1998,Rabi       ,Meghalaya,4287.0,6998,6552.7,423555.6,1243.23,1.605
288,Arecanut,1998,Whole Year ,West Bengal,8239.0,13665,2152.5,814013.2,2389.31,1.595294118
289,Arhar/Tur,1998,Kharif     ,West Bengal,2606.0,1672,2152.5,257472.8,755.74,0.756923077
290,Bajra,1998,Kharif     ,West Bengal,175.0,84,2152.5,17290.0,50.75,0.436666667
291,Barley,1998,Rabi       ,West Bengal,5938.0,5910,2152.5,586674.4,1722.02,1.10375
